Type,confidence_value
car,86
Type,confidence_value
car,91
Type,confidence_value
car,60
Type,confidence_value
car,92
Type,confidence_value
car,56
Type,confidence_value
car,57
Type,confidence_value
car,86
Type,confidence_value
car,77
Type,confidence_value
car,86
Type,confidence_value
motorbike,52
Type,confidence_value
truck,75
Type,confidence_value
truck,85
Type,confidence_value
car,52
Type,confidence_value
car,63
Type,confidence_value
car,63
Type,confidence_value
car,86
Type,confidence_value
car,89
Type,confidence_value
car,55
Type,confidence_value
car,91
Type,confidence_value
car,71
Type,confidence_value
car,66
Type,confidence_value
car,55
Type,confidence_value
car,85
Type,confidence_value
car,86
Type,confidence_value
motorbike,72
Type,confidence_value
bus,78
Type,confidence_value
truck,64
Type,confidence_value
motorbike,53
Type,confidence_value
car,58
Type,confidence_value
car,59
Type,confidence_value
car,86
Type,confidence_value
car,89
Type,confidence_value
car,72
Type,confidence_value
car,58
Type,confidence_value
car,93
Type,confidence_value
car,53
Type,confidence_value
car,94
Type,confidence_value
car,89
Type,confidence_value
motorbike,56
Type,confidence_value
truck,75
Type,confidence_value
bus,74
Type,confidence_value
car,63
Type,confidence_value
motorbike,54
Type,confidence_value
car,59
Type,confidence_value
car,60
Type,confidence_value
car,87
Type,confidence_value
car,50
Type,confidence_value
car,90
Type,confidence_value
car,74
Type,confidence_value
car,51
Type,confidence_value
car,93
Type,confidence_value
car,56
Type,confidence_value
car,92
Type,confidence_value
car,93
Type,confidence_value
car,92
Type,confidence_value
car,60
Type,confidence_value
car,66
Type,confidence_value
car,73
Type,confidence_value
car,87
Type,confidence_value
car,68
Type,confidence_value
car,58
Type,confidence_value
car,81
Type,confidence_value
car,73
Type,confidence_value
car,82
Type,confidence_value
car,66
Type,confidence_value
car,53
Type,confidence_value
car,83
Type,confidence_value
car,52
Type,confidence_value
car,57
Type,confidence_value
car,90
Type,confidence_value
car,62
Type,confidence_value
car,50
Type,confidence_value
car,91
Type,confidence_value
car,65
Type,confidence_value
car,94
Type,confidence_value
car,53
Type,confidence_value
car,59
Type,confidence_value
car,63
Type,confidence_value
car,73
Type,confidence_value
car,53
Type,confidence_value
car,74
Type,confidence_value
car,60
Type,confidence_value
car,92
Type,confidence_value
car,59
Type,confidence_value
car,56
Type,confidence_value
car,53
Type,confidence_value
car,56
Type,confidence_value
car,51
Type,confidence_value
car,50
Type,confidence_value
car,63
Type,confidence_value
car,80
Type,confidence_value
car,94
Type,confidence_value
car,65
Type,confidence_value
car,51
Type,confidence_value
car,50
Type,confidence_value
car,82
Type,confidence_value
car,62
Type,confidence_value
car,57
Type,confidence_value
car,93
Type,confidence_value
car,74
Type,confidence_value
car,87
Type,confidence_value
car,78
Type,confidence_value
car,65
Type,confidence_value
car,90
Type,confidence_value
car,63
Type,confidence_value
car,67
Type,confidence_value
car,70
Type,confidence_value
car,76
Type,confidence_value
car,78
Type,confidence_value
car,63
Type,confidence_value
car,95
Type,confidence_value
car,58
Type,confidence_value
car,77
Type,confidence_value
car,74
Type,confidence_value
car,63
Type,confidence_value
car,83
Type,confidence_value
car,80
Type,confidence_value
car,93
Type,confidence_value
car,79
Type,confidence_value
car,68
Type,confidence_value
car,68
Type,confidence_value
car,93
Type,confidence_value
car,90
Type,confidence_value
car,73
Type,confidence_value
car,93
Type,confidence_value
car,85
Type,confidence_value
car,73
Type,confidence_value
car,53
Type,confidence_value
car,75
Type,confidence_value
car,82
Type,confidence_value
car,87
Type,confidence_value
car,76
Type,confidence_value
car,91
Type,confidence_value
car,87
Type,confidence_value
car,78
Type,confidence_value
car,51
Type,confidence_value
car,96
Type,confidence_value
car,87
Type,confidence_value
car,88
Type,confidence_value
car,79
Type,confidence_value
car,92
Type,confidence_value
car,90
Type,confidence_value
car,92
Type,confidence_value
car,60
Type,confidence_value
car,66
Type,confidence_value
car,73
Type,confidence_value
car,87
Type,confidence_value
car,68
Type,confidence_value
car,58
Type,confidence_value
car,81
Type,confidence_value
car,73
Type,confidence_value
car,82
Type,confidence_value
car,66
Type,confidence_value
car,53
Type,confidence_value
car,83
Type,confidence_value
car,52
Type,confidence_value
car,57
Type,confidence_value
car,90
Type,confidence_value
car,62
Type,confidence_value
car,50
Type,confidence_value
car,91
Type,confidence_value
car,65
Type,confidence_value
car,94
Type,confidence_value
car,53
Type,confidence_value
car,59
Type,confidence_value
car,63
Type,confidence_value
car,73
Type,confidence_value
car,53
Type,confidence_value
car,74
Type,confidence_value
car,60
Type,confidence_value
car,92
Type,confidence_value
car,59
Type,confidence_value
car,56
Type,confidence_value
car,53
Type,confidence_value
car,56
Type,confidence_value
car,51
Type,confidence_value
car,50
Type,confidence_value
car,63
Type,confidence_value
car,80
Type,confidence_value
car,94
Type,confidence_value
car,65
Type,confidence_value
car,51
Type,confidence_value
car,50
Type,confidence_value
car,82
Type,confidence_value
car,62
Type,confidence_value
car,57
Type,confidence_value
car,93
Type,confidence_value
car,74
Type,confidence_value
car,87
Type,confidence_value
car,78
Type,confidence_value
car,65
Type,confidence_value
car,90
Type,confidence_value
car,63
Type,confidence_value
car,67
Type,confidence_value
car,70
Type,confidence_value
car,76
Type,confidence_value
car,78
Type,confidence_value
car,63
Type,confidence_value
car,95
Type,confidence_value
car,58
Type,confidence_value
car,77
Type,confidence_value
car,74
Type,confidence_value
car,63
Type,confidence_value
car,83
Type,confidence_value
car,80
Type,confidence_value
car,93
Type,confidence_value
car,79
Type,confidence_value
car,68
Type,confidence_value
car,68
Type,confidence_value
car,93
Type,confidence_value
car,90
Type,confidence_value
car,73
Type,confidence_value
